label,sentence
1,While Die Hard 2 I feel is a great film. I just have a feeling it isn't what I really need right now. I enjoyed It Could Happen To you which was made in 1994, Speed is a 1994 action film directed by Jan de Bont. I also enjoyed Stargate released in 1994.. RECOMMEND True Lies (1994)
0,I enjoyed It Could Happen To You which was a comedy-drama starring Nicolas Cage and Bridget Fonda, I also enjoyed the 1994 adventure film Stargate created by Dean Devlin and Roland Emmerich.. RECOMMEND Die Hard 2 (1990)
1,It isnt similiar to what i described. RECOMMEND Schindler's List (1993)
1,dark. RECOMMEND Requiem for a Dream (2000)
0,That is just the kind of movie im looking for. RECOMMEND Trainspotting (1996)
1,Doesn't match with my tastes.. RECOMMEND Back to the Future (1985)
0,Matches others I enjoy. RECOMMEND Pink Cadillac (1989)
1,I'm reasonably certain that I should not do that. I tend to like quirky movies.. RECOMMEND Indiana Jones and the Temple of Doom (1984)
1,I quite like Daniel Ratcliffe and Mel Gibson.. RECOMMEND Harry Potter and the Chamber of Secrets (2002)
1,more mainstreem. RECOMMEND Fargo (1996)
1,Sure!. RECOMMEND Fight Club (1999)
1,I like Tom Hanks and Kevin Costner and Harrison Ford. RECOMMEND Braveheart (1995)
1,I like movies from the early 2000's and 1999. They are mostly drama with a bit of comedy.. RECOMMEND Being John Malkovich (1999)
1,Yes, I love dark thrillers with a mix of psychological themes.. RECOMMEND L.A. Confidential (1997)
0,I accepted it because I trusted the recommendation since you asked what type of genre I liked.. RECOMMEND Donnie Darko (2001)
1,Hi I need a movie recommendation I like popular big name movies. RECOMMEND Aliens (1986)
1,It like them.. RECOMMEND Hannah and Her Sisters (1986)
1,Yes.. RECOMMEND All That Heaven Allows (1955)
1,It's a drama by Woody Allen.. RECOMMEND Chinatown (1974)
1,Sure.. RECOMMEND Crimes and Misdemeanors (1989)
1,Brad Pitt and big namers like him I love love love!. RECOMMEND Full Metal Jacket (1987)
1,yes please..I can accept both because my taste really diverse. RECOMMEND Lucky Numbers (2000)
1,Hi, im looking for crime film. RECOMMEND Reservoir Dogs (1992)
1,I would give this a try. RECOMMEND Cleaner (2007)
1,Maybe a drama film like American Beauty?. RECOMMEND Requiem for a Dream (2000)
1,I like thriller. this is new to me. RECOMMEND Fight Club (1999)
1,yes i would say comedy crime movies. RECOMMEND Goodfellas (1990)
1,love some good crime comedy movies like this. RECOMMEND Full Metal Jacket (1987)
1,Drama and crime elements. RECOMMEND Memento (2000)
1,How about crime films? I like those, especially by Quentin Tarantino.. RECOMMEND American History X (1998)
1,pretty much anything from the mid 70s on. RECOMMEND Blade Runner (1982)
1,Got a movie for me?. RECOMMEND Reservoir Dogs (1992)
1,Sometimes regular comedies like Ben Stiller type shows. But I do also like comedy-dramas, that are based on books perhaps.. RECOMMEND Rain Man (1988)
1,That didn't work - can we try an epic drama maybe?. RECOMMEND Braveheart (1995)
1,Sounds interesting. I did enjoy V for Vendetta. RECOMMEND 300 (2007)
1,Hello I am looking for a movie recommendation. I like romantic comedies but also thrillers.. RECOMMEND District 9 (2009)
1,Sounds Good!. RECOMMEND Batman Begins (2005)
1,Science Fiction I guess. I really enjoyed Love Actually and Groundhog Day.. RECOMMEND Star Trek (2009)
1,Not so much together but separate, what do you have in mind?. RECOMMEND Play It Again, Sam (1972)
1,Sure! Doesn't hurt to try. RECOMMEND Manhattan (1979)
1,I like Steven Spielberg and Ridley Scott.. RECOMMEND Inglourious Basterds (2009)
1,Something like City of Angels and Mrs. doubtfire. Fatal attraction also. RECOMMEND Pretty Woman (1990)
1,This sounds like it could be a winner in my book.. RECOMMEND Groundhog Day (1993)
1,I feel this is a step in the right direction. I however am not entirely fond of the director and stars.. RECOMMEND Four Weddings and a Funeral (1994)
0,This movie seems like it has potential... It just isn't really popping out at me right now. I also enjoy Matthew Broderick, Ralph Bellamy, and Jason alexander. It is in the general time frame of movies I normally watch however.. RECOMMEND Bridget Jones's Diary (2001)
0,Well, I am not too picky there.. Simply comedy. I enjoy films directed by John Hughes, David Fincher, Rob Reiner and Garry Marshall. I enjoy as far as actors go... Billy Crystal, Meg Ryan, Edward Norton, Steve Martin and Martin Short.. RECOMMEND King Ralph (1991)
1,I love adventure films; stories with history or fantasy based, and war films. I also like the occasional 90s comedy. RECOMMEND American History X (1998)
1,i wouldn't like this movie because i don't like dennis hopper. RECOMMEND Pulp Fiction (1994)
0,i accepted the movie because i have not seen it and also martin scorsese is a great director, and I love crime thrillers. RECOMMEND Blue Velvet (1986)
1,i think i like crime movies! especially like trainspotting, they just stole so much but it's a comedy drama. RECOMMEND Taxi Driver (1976)
1,Sure, let me have it.. RECOMMEND Waking Life (2001)
1,Sure, but before you tell me what it is, let me mention I also really dig John Cusack.. RECOMMEND Lost in Translation (2003)
1,It seems to match well for my liking of action and comedy films.. RECOMMEND Fargo (1996)
1,Okay sounds great. I really like Martin Scorsese by the way.. RECOMMEND In Bruges (2008)
0,I don't think I really like any movies based around novels... but maybe occasionally. RECOMMEND Rain Man (1988)
1,I do like some romantic comedies and classic sci-fi as well. I occasionally like dramas, but ... not that much I think. haha. RECOMMEND Ferris Bueller's Day Off (1986)
1,I think I'd like this since It's similar to Back to the Future. RECOMMEND Stand by Me (1986)
1,Absolutly, I like Indiana Jones. RECOMMEND National Treasure (2004)
1,Spielberg, Nolan, and Robert zemeckis are favorites.. RECOMMEND Back to the Future Part II (1989)
1,I liked the first BTTF, and this is a later one in the series.. RECOMMEND WarGames (1983)
1,Sounds cool. RECOMMEND Die Hard (1988)
1,Hmm, I did like the action adventure scifi Jurassic Park and the scifi horror Alien.. RECOMMEND Die Hard (1988)
1,I love Steven Spielberg, Ridley Scott, and Robert Zemeckis. I think they are really great directors.. RECOMMEND E.T. the Extra-Terrestrial (1982)
1,fight club. RECOMMEND Fight Club (1999)
0,yes if kid friendly. RECOMMEND Office Space (1999)
1,ok. RECOMMEND Eternal Sunshine of the Spotless Mind (2004)
1,ok i dont like comedy that much. RECOMMEND Before Midnight (2013)
1,ok. RECOMMEND Little Miss Sunshine (2006)
1,ok. RECOMMEND Keys to Tulsa (1997)
1,Quentin Tarantino 1992. RECOMMEND Reservoir Dogs (1992)
0,Yes. RECOMMEND Apollo 13 (1995)
1,I think so! yeah. RECOMMEND Schindler's List (1993)
1,I also like stuff by Tarantino. RECOMMEND Goodfellas (1990)
1,Peter Jackson, Jean- Pierre Jeunet and Michael Moore.. RECOMMEND Bad Taste (1987)
1,I like Bill Murray, Gene Wilder, and for directors Mel Brooks and Jack Hill.. RECOMMEND Young Frankenstein (1974)
1,They can't all be bad.. RECOMMEND Georgia (1995)
1,Okay, keep trying. RECOMMEND Intimacy (2000)
1,Sounds good, I'm ready to watch!. RECOMMEND Fight Club (1999)
1,I like those actresses. RECOMMEND L.A. Confidential (1997)
1,It looks intense and I love Edward Norton.. RECOMMEND American History X (1998)
1,Spielberg is big yes for me. I also like Kevin Costner.. RECOMMEND Apollo 13 (1995)
1,Oler ones are the best.. RECOMMEND Fargo (1996)
1,sci fi in space. RECOMMEND Star Trek (2009)
1,Geat. RECOMMEND Inception (2010)
1,Yes. RECOMMEND We Were Soldiers (2002)
1,I like late 90s, early 2000s drama. RECOMMEND Traffic (2000)
1,It's an early 2000s war movie. RECOMMEND Flyboys (2006)
1,I don't think so. Maybe a late 90s comedy?. RECOMMEND Ocean's Eleven (2001)
1,I hope it's 90s and 00s era. RECOMMEND Forrest Gump (1994)
1,Highly acclaimed 90s drama. RECOMMEND Monsters, Inc. (2001)
0,I meant good, not goof. Matt Damon is dreamy and it's a smart movie.. RECOMMEND Schindler's List (1993)
1,I'm a girl, I'm pretty typrical, romance comedies. RECOMMEND How Do You Know (2010)
1,Comedies. RECOMMEND Good Will Hunting (1997)
0,I'm actually gonna watch that today, lol. RECOMMEND E.T. the Extra-Terrestrial (1982)
1,doesn't look like what I'd like. RECOMMEND Dances with Wolves (1990)
0,not really. RECOMMEND Nell (1994)
1,yes. RECOMMEND Back to the Future (1985)
0,I like Matt damon and sigourney weaver.. RECOMMEND Mr. Holland's Opus (1995)
1,comedy. RECOMMEND She's Out of Control (1989)
1,please recommend another, I am wanting to see all the options. RECOMMEND Fargo (1996)
1,the first one. RECOMMEND Indian Summer (1993)
1,yes please recommend the 1993 spielburg. RECOMMEND Jurassic Park (1993)
1,I did like Saving Private Ryan... RECOMMEND Braveheart (1995)
1,ok. RECOMMEND Dave (1993)
1,ok. RECOMMEND Mr. Holland's Opus (1995)
0,I'm not sure I'd like a thriller movie, and I don't think Leonardo Dicaprio was in Inglourous Basterds. RECOMMEND American History X (1998)
0,Hello, I usually like watching comedy dramas such as Garden State and Forrest Gump, sometimes I like war films like Inglourious Basterds though, and even psychological dramas, can you help me find a good movie?. RECOMMEND Shutter Island (2010)
1,That sounds good, I like fantasy as well.. RECOMMEND Requiem for a Dream (2000)
1,It is a comedy drama with good reviews.. RECOMMEND Dogville (2003)
1,mostly looking for films in 2000-2010. RECOMMEND Little Miss Sunshine (2006)
1,Yeah. Spielberg? If not maybe take a shot in the dark.. RECOMMEND Schindler's List (1993)
1,I like Oliver Stone. That one sounds good.. RECOMMEND JFK (1991)
1,Harry Potter, Ice Age, Taxi Driver... like I said, very eclectic to the point where I barely understand it. I seem to enjoy a bit of everything.. RECOMMEND Harry Potter and the Chamber of Secrets (2002)
1,Action and war are good, too. I prefer things from the 80s, 90s and 2000s. RECOMMEND Fight Club (1999)
0,That's not the kind of movies am interested about, i am more interested in survival movies.. RECOMMEND Sleeping with the Enemy (1991)
0,I don't like older movies.. RECOMMEND Die Hard (1988)
0,Newer. RECOMMEND Broken City (2013)
1,More Disney and Pixar animated films. I really want a movie man, gimme something.. RECOMMEND Toy Story (1995)
1,I absolutely love big name comedies! Popular. RECOMMEND Toy Story 2 (1999)
1,yea i like movies from all eras. RECOMMEND Back to the Future Part II (1989)
1,sure. RECOMMEND Equilibrium (2002)
1,I like James Bond movies.. RECOMMEND Harry Potter and the Goblet of Fire (2005)
1,I like Liam Neeson, Christopher Nolan, Brad Pitt, Gary Ross. RECOMMEND Casino Royale (2006)
1,lets try the american fantasy. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,yea. RECOMMEND Jurassic Park (1993)
1,user took too long. RECOMMEND Big (1988)
1,Yea, I like Woody Allen. Is that your suggestion?. RECOMMEND Annie Hall (1977)
1,This is not a comedy or scfi or horror. I would even take a drama. RECOMMEND Badlands (1973)
0,what else you got. RECOMMEND Zabriskie Point (1970)
1,I dont like foreign films. RECOMMEND Picnic at Hanging Rock (1975)
1,what else you got?. RECOMMEND Barry Lyndon (1975)
0,I want a comedy, horror or science fiction film.. RECOMMEND Lola Montès (1955)
0,I like comedy and scifi. As well as action and horor. RECOMMEND Zabriskie Point (1970)
1,If it is a comedy drama, then yes. I also like war movies and action thrillers.. RECOMMEND Full Metal Jacket (1987)
1,I like drama movies.. RECOMMEND Dances with Wolves (1990)
1,I like war movies.. RECOMMEND Big Fish (2003)
1,I'd like to try a western film.. RECOMMEND American History X (1998)
1,I have never seen this movie. RECOMMEND American Beauty (1999)
1,I've seen just one called shakespeare in love. RECOMMEND Leaving Las Vegas (1995)
1,It is in the 90s and is a drama, which I enjoy dramas. RECOMMEND Airplane! (1980)
1,Because it was an older comedy drama which I like. RECOMMEND Big Night (1996)
1,I have a strong preference for older films. I also like movies from the nineties. I like comedy dramas!. RECOMMEND Say Anything... (1989)
1,That sounds amazing you should recommend it by pressing the blue button next to it so i can see its details fully. RECOMMEND Outbreak (1995)
1,Hrm, Jennifer Aniston is pretty good. I'd like Bratt Pitt too.. RECOMMEND American History X (1998)
0,The movie is black and white, has a bit of drama, and a lot of action.. RECOMMEND American History X (1998)
1,I like some older movies. I loved Breakfast at Tiffany's.. RECOMMEND Sin City (2005)
1,Musical film, should fit perfect. RECOMMEND Mary Poppins (1964)
1,So my interests based on genre vary a lot, however I do have two american dance movies on my interests list like saturday night fever and Grease. Also have Harry Potter and the Prisoner of Azkaban on my list. If you have any musical/dance type of movies thatll prolly fit, or just any really well known movies in general. RECOMMEND All That Jazz (1979)
1,Show me what you got.. RECOMMEND Apollo 13 (1995)
1,Yes I do, I've seen one and really enjoyed it. RECOMMEND Toy Story 2 (1999)
1,Do you know of any dramas or mysteries I could watch this morning?. RECOMMEND American Beauty (1999)
1,kevin spacey. RECOMMEND Pulp Fiction (1994)
1,I like horror and crime drama. RECOMMEND Manhattan (1979)
1,Hi, I like thriller and war and some fantasy drama. Can you help find a good movie?. RECOMMEND There Will Be Blood (2007)
0,Seen that one and loved it but its not really a horror type movie but its a great choice.. RECOMMEND Reservoir Dogs (1992)
0,Well I do like sci-fi's , or sci-fi horrors, especially when the characters are all alone in space with no one to help them.. RECOMMEND Absence of Malice (1981)
0,Its a drama and not what I'm looking for. I'd looking more of a thriller or suspense.. RECOMMEND Blade Runner (1982)
1,as long as it is mixed with comedy.. RECOMMEND Manhattan (1979)
1,Hi. I'm looking for a recommendation. My favorite movies include The Lego Movie, Monty Python, and Office Space.. RECOMMEND Ferris Bueller's Day Off (1986)
1,psychology would be fine, I liked black swan. RECOMMEND Shutter Island (2010)
1,More action and drama. RECOMMEND Blood Diamond (2006)
1,Yes, anything with action?. RECOMMEND District 9 (2009)
1,Please another movie recommendation. I like crazy movies like fear and loathing in las vegas and eternal sunshine of the spotless mind.. RECOMMEND Requiem for a Dream (2000)
1,I need a movie FAST! Please recommend an adventure, crime, or drama movie.. RECOMMEND O Brother, Where Art Thou? (2000)
0,90's. RECOMMEND Fight Club (1999)
1,the movie is not one of my favorite genre's. RECOMMEND As Good as It Gets (1997)
1,I like romantic comedy movies. RECOMMEND American History X (1998)
0,Mostly anything newer, like 2000+... but a little bit of the 90s as well.. RECOMMEND Hot Fuzz (2007)
1,Yes, absolutely!. RECOMMEND Big Hero 6 (2014)
1,I like war movies. RECOMMEND Little Miss Sunshine (2006)
1,Depends on how I'm feeling, I suppose. Right now, I'm more interested in watching a drama. It doesn't have to be tear-jerker...but some solid acting would be fantastic.. RECOMMEND Schindler's List (1993)
1,I think I'm more into action or adventure comedy. RECOMMEND Ocean's Twelve (2004)
0,I like American movies. Oceans 13 is a good comedy, and I also liked Live Free or Die Hard. Guy Ritche is a director I like. RECOMMEND Sex Drive (2008)
1,i like drama and jared leto is a good actor. RECOMMEND Pulp Fiction (1994)
0,it has Christian Bale in it and I like him. RECOMMEND Army of Darkness (1993)
0,i like drama. RECOMMEND American Beauty (1999)
1,send it. RECOMMEND Requiem for a Dream (2000)
1,not a big kevin spacey fan. RECOMMEND American Psycho (2000)
0,how about an action movie based on a novel. RECOMMEND The Cruel Sea (1953)
1,yes. RECOMMEND District 9 (2009)
1,supernatural would be fine, but no sci fi. Maybe something with a hint of comedy. RECOMMEND Donnie Darko (2001)
1,action and adventure, some sci-fi. RECOMMEND Jurassic Park (1993)
1,maybe dark drama action. RECOMMEND Fight Club (1999)
1,It is a romantic comedy like knocked up, and is early 2000s.. RECOMMEND Die Hard (1988)
1,cool what is it?. RECOMMEND Carolina (2005)
1,Great, what's your suggestion?. RECOMMEND Bridget Jones's Diary (2001)
1,Awesome, thanks!. RECOMMEND American Hustle (2013)
1,Ok, I like big name actors as well like Brad Pitt, Ben Affleck, Sandra Bullock and George Clooney.. RECOMMEND Inside Llewyn Davis (2013)
1,Ok, thanks for your help.. RECOMMEND Her (2013)
1,Aliens sounds fun. RECOMMEND E.T. the Extra-Terrestrial (1982)
0,anything from 1970s will do. RECOMMEND Blade Runner (1982)
1,ok then anything from 1990 upwards but adventure I don't like horror and comedy. RECOMMEND Jurassic Park (1993)
0,Can you help me find a movie. I prefer movies from the 60's and 70's I mostly like crime and western movies.. RECOMMEND Apocalypse Now (1979)
1,I love great classics like Pulp Fiction and Natural Born Killers. Give me a good, popular, classic film.. RECOMMEND True Romance (1993)
0,It's actually a crime film based on the 1986 non-fiction book called "Wiseguy.". RECOMMEND Kramer vs. Kramer (1979)
1,I like movies that inspire.. RECOMMEND Saving Private Ryan (1998)
1,I do enjoy historical dramas and Steven Spielberg.. RECOMMEND Schindler's List (1993)
1,I would probably prefer the Nazi drama, since I enjoyed Saving Private Ryan.. RECOMMEND American History X (1998)
1,Do you have any sort of comedy films?. RECOMMEND Hot Fuzz (2007)
1,I do. I enjoyed Saving Private Ryan.. RECOMMEND Braveheart (1995)
1,Okay, please recommend.. RECOMMEND Pulp Fiction (1994)
1,Okay, I would like you to recommend the other one.. RECOMMEND Being John Malkovich (1999)
1,Ok!. RECOMMEND Monsters, Inc. (2001)
0,sure!. RECOMMEND Braveheart (1995)
1,ohh I dont want to see that one.. RECOMMEND Pulp Fiction (1994)
0,Hi so I am looking for some movie suggestions. I like comedy, adventure, science fiction and crime thriller films!. RECOMMEND Jurassic Park (1993)
1,I really like Signourney Weaver, Simon Pegg, and Christian Bale!. RECOMMEND Aliens (1986)
1,not in particular. RECOMMEND While You Were Sleeping (1995)
1,Perfect time and action-packed. RECOMMEND Aliens (1986)
1,The 80s mostly, a couple late-70s and some 90s outliers.. RECOMMEND Lethal Weapon (1987)
1,I do yes but mainly animated ones... real dinosaurs scare me a bit. RECOMMEND Die Hard (1988)
1,Well it's one of the movies I wanted to see but I'm not sure where the dinosaurs are in it.. RECOMMEND Jurassic Park (1993)
1,Haven't watched any from him as well, unfortunately.. RECOMMEND Family Plot (1976)
1,I have not heard of him before, no. Are you aware of any science fiction movies?. RECOMMEND Aliens (1986)
1,I like them.. RECOMMEND Toy Story 2 (1999)
1,I think I'd like the Tarantino movie more.. RECOMMEND Pulp Fiction (1994)
0,Sounds good! I look forward to it.. RECOMMEND Taxi Driver (1976)
0,I like that too as well as a little mysery and romance.. RECOMMEND Traffic (2000)
1,I dont think that one matches the best.. RECOMMEND American Beauty (1999)
1,Not overly but if it's comedy based I could be into it.. RECOMMEND MacGruber (2010)
1,I feel like that would be a perfect fit for what I'm looking for.. RECOMMEND We Bought a Zoo (2011)
1,I don't mind something with a little music or adventure but I've mainly been into comedy.. RECOMMEND Toy Story 2 (1999)
1,I'm happy to see it. RECOMMEND Mean Girls (2004)
1,Computer-animated is something I enjoy.. RECOMMEND Despicable Me (2010)
1,i like comedy drama mainly. RECOMMEND Shakespeare in Love (1998)
1,enjoy drama. RECOMMEND Apollo 13 (1995)
1,i love drama, but also a bit of crime and comedy. RECOMMEND Death in Brunswick (1991)
1,like a lot of drama, i would look at that. RECOMMEND How to Make an American Quilt (1995)
1,epic drama. RECOMMEND Dances with Wolves (1990)
1,I don't really like sci fi movies.. RECOMMEND Pulp Fiction (1994)
0,I like a lot, but I really favor Tom Hanks and Sally Field.. RECOMMEND Eternal Sunshine of the Spotless Mind (2004)
0,This movie is a thriller similar to the other movies i like. RECOMMEND Total Recall (2012)
1,I don't like sci-fi. RECOMMEND Hancock (2008)
1,I like superhero movies and comedies so it seems to fit my tastes. RECOMMEND Megamind (2010)
0,SCi-fi doesn't seem like my kind of genre. RECOMMEND Star Trek (2009)
1,Some of my favorite directors are James McTeigue, Louis Leterrier, and Kenneth Branagh. RECOMMEND Shutter Island (2010)
1,sure. RECOMMEND Cold Souls (2009)
1,i enjoy Steven Spielberg and Robert Zemeckis. RECOMMEND Schindler's List (1993)
1,I do especially comedy and drama but I like them all really. RECOMMEND Hysteria (2011)
1,Yes I like Paul Newman, Liam Nelson, Tom Hanks to name a few. RECOMMEND Pulp Fiction (1994)
1,Yes I love action movies!. RECOMMEND Jurassic Park (1993)
1,Love british comedy. RECOMMEND Braveheart (1995)
1,I do like comedy a bit! I still think dramas are more my style or thrillers... But lets see what you got.. RECOMMEND Raising Arizona (1987)
0,Hmm, I'm intrigued. . Let's see what you have?. RECOMMEND Fargo (1996)
1,Ok, fine. Let me see the space one.. RECOMMEND Apollo 13 (1995)
1,I like war movies.. RECOMMEND Awakenings (1990)
1,I like a drama movie once in a while.. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,I like Tom hanks and sci-fi, a mixture of both sounds neat.. RECOMMEND Saving Private Ryan (1998)
1,This is a Tom Hanks classic!. RECOMMEND Braveheart (1995)
1,I do like comedies. Romantic comedies are right up my alley.. RECOMMEND Notting Hill (1999)
1,sure. I do love movies that are funny. I even like some animated movies. RECOMMEND 10 Things I Hate About You (1999)
1,Which one?. RECOMMEND National Treasure (2004)
1,Comedy looks close to my list. RECOMMEND Monsters, Inc. (2001)
1,I like adveture according to the list on the left. RECOMMEND Just Go with It (2011)
1,Alfonso Cuarón John Woo Nancy Meyers Andrew Stanton Robert Schwentke. RECOMMEND Armageddon (1998)
1,I like British comedy, American comedy, historical drama, and epic war films. Mostly I do like there to be a historical/war element.. RECOMMEND Turtle Diary (1985)
1,I accepted this movie because I like another British film.. RECOMMEND Forrest Gump (1994)
1,I accepted this because I like another British film.. RECOMMEND Heartless (2009)
1,I accepted this movie because it has Tom Hanks in it.. RECOMMEND Big (1988)
1,I accepted this one because it also stars Tom Hank.. RECOMMEND Apollo 13 (1995)
1,Not so far. Most of my favorites are from the 90s, but there's a smattering of 60s and 2000s in there as well.. RECOMMEND Cast Away (2000)
1,Reminds me of Shawshank.. RECOMMEND Hang 'Em High (1968)
1,The storyline seems interesting.. RECOMMEND Papillon (1973)
1,I do. I'd consider some of them thrillers as well.. RECOMMEND Anatomy of a Murder (1959)
1,I like thrillers.. RECOMMEND Whiteout (2009)
1,Yep. I like those especially the ones that keep me guessing till the end.. RECOMMEND F/X (1986)
1,i like both. I like tarantino movies and movies with clint eastwood. RECOMMEND Goodfellas (1990)
1,ok. RECOMMEND Harry Potter and the Goblet of Fire (2005)
1,Sounds good.. RECOMMEND Flight (2012)
0,I really like comedy-dramas mostly. Thrillers are ok too.. RECOMMEND Shutter Island (2010)
1,Not exactly but I'm not opposed to it either. RECOMMEND Edward Scissorhands (1990)
1,Let's do this thing. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,I'm not exactly sure who he is but let's give it a shot. RECOMMEND Brief Interviews with Hideous Men (2009)
1,Well apparently my choices aren't exactly what I thought they were I do like a fantasy film on occasion. RECOMMEND Harry Potter and the Goblet of Fire (2005)
